name,name,mk_avg_price,mk_price,buff_price,spread,sales
921582,StatTrak™ M4A4 | Temukau (Battle-Scarred),2108.76,2106.11,2052.52,-7.28,89
773532,Sticker | Dragon Lore (Foil),1750.633846,1839.0,1709.42,-7.57,24
900572,AWP | Chromatic Aberration (Factory New),1774.98,5965.71,1736.07,-7.73,105
763504,AK-47 | Asiimov (Well-Worn),2087.705,1999.99,2043.23,-7.79,24
35163,M4A1-S | Atomic Alloy (Well-Worn),2646.623333,2850.71,2590.51,-7.8,35
39069,StatTrak™ MP9 | Hypnotic (Factory New),3477.793333,3547.75,3404.44,-7.81,27
35182,M4A1-S | Bright Water (Field-Tested),2018.055,2150.0,1977.27,-7.89,53
33968,AK-47 | The Empress (Battle-Scarred),1667.615,1894.0,1635.39,-7.97,528
34744,Five-SeveN | Hyper Beast (Field-Tested),2468.14,2718.81,2422.8,-8.06,29
35349,M4A4 | Zirka (Field-Tested),1933.853333,2247.32,1900.28,-8.16,28
34079,AWP | Electric Hive (Field-Tested),2389.476667,2652.97,2348.77,-8.19,33
35241,M4A1-S | Mecha Industries (Well-Worn),2835.165,3266.0,2788.91,-8.25,33
779353,M4A1-S | Player Two (Well-Worn),1660.277143,1675.96,1634.04,-8.3,23
34433,Desert Eagle | Kumicho Dragon (Minimal Wear),1738.48125,1912.54,1713.86,-8.45,21
871107,M4A4 | The Coalition (Field-Tested),2244.97,4092.64,2219.55,-8.72,21
33978,AK-47 | Wasteland Rebel (Battle-Scarred),1941.09,2184.47,1923.43,-8.92,56
871462,Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,2735.531935,2989.55,2712.19,-8.97,32
871117,Glock-18 | Gamma Doppler (Field-Tested),3258.03,7310.0,3230.4,-8.98,209
871302,USP-S | Whiteout (Battle-Scarred),1662.636667,1724.73,1655.45,-9.36,58
38832,StatTrak™ M4A1-S | Hyper Beast (Well-Worn),3434.84,3593.12,3425.57,-9.51,30
759341,AK-47 | Neon Rider (Field-Tested),2428.67,2967.79,2422.8,-9.53,142
835786,StatTrak™ Five-SeveN | Fairy Tale (Battle-Scarred),1715.584,2200.0,1715.75,-9.76,22
871348,FAMAS | Meltdown (Field-Tested),2238.7568,2495.0,2241.09,-9.84,62
35192,M4A1-S | Cyrex (Minimal Wear),1851.393,1905.04,1857.35,-10.04,37
35301,M4A4 | Hellfire (Field-Tested),3371.286667,3634.84,3385.06,-10.12,51
38293,StatTrak™ AWP | Elite Build (Battle-Scarred),1841.64,3028.09,1850.08,-10.16,30
35221,M4A1-S | Hyper Beast (Minimal Wear),3737.656471,3923.37,3754.94,-10.17,24
42180,USP-S | Kill Confirmed (Battle-Scarred),2850.0,3309.33,2872.36,-10.45,267
928238,Sticker | v$m (Holo) | Paris 2023,1895.2695,2200.0,1911.32,-10.51,23
900638,StatTrak™ AK-47 | Ice Coaled (Minimal Wear),2087.475,2378.11,2106.36,-10.56,21
35159,M4A1-S | Atomic Alloy (Battle-Scarred),2480.273333,2818.13,2502.89,-10.57,43
33907,AK-47 | Frontside Misty (Minimal Wear),1699.816667,3046.1,1716.15,-10.61,39
33971,AK-47 | The Empress (Minimal Wear),3661.573077,3660.87,3701.5,-10.72,24
33921,AK-47 | Jaguar (Field-Tested),2453.71,3301.19,2483.24,-10.82,23
781675,Desert Eagle | Printstream (Well-Worn),2585.43,3071.18,2616.62,-10.83,43
835613,Sir Bloody Darryl Royale | The Professionals,1780.62,1893.52,1802.29,-10.84,55
857695,StatTrak™ USP-S | The Traitor (Battle-Scarred),1865.42,2346.82,1888.44,-10.85,65
871333,Galil AR | Amber Fade (Minimal Wear),1682.215,1760.0,1709.29,-11.18,30
921456,AK-47 | Head Shot (Minimal Wear),2808.095,3297.77,2853.52,-11.19,56
35206,M4A1-S | Golden Coil (Battle-Scarred),2275.95,2725.57,2314.85,-11.27,167
33919,AK-47 | Jaguar (Battle-Scarred),2287.46,2602.74,2327.23,-11.29,53
773691,AWP | Wildfire (Battle-Scarred),2377.36,2842.29,2422.8,-11.44,158
38219,StatTrak™ AK-47 | Redline (Battle-Scarred),2036.525,2244.41,2079.57,-11.62,46
763332,AWP | Neo-Noir (Field-Tested),1587.12,1769.75,1623.95,-11.8,245
38162,StatTrak™ AK-47 | Blue Laminate (Field-Tested),2190.0,2400.0,2247.82,-12.07,51
34746,Five-SeveN | Hyper Beast (Well-Worn),1956.66,2293.0,2008.5,-12.08,47
36083,P250 | Splash (Minimal Wear),1549.102,1946.23,1595.01,-12.35,26
36135,P90 | Death by Kitty (Field-Tested),2993.1125,3254.0,3082.34,-12.36,33
45561,★ Hydra Gloves | Rattler (Battle-Scarred),3697.58,4320.25,3807.7,-12.36,96
781694,Desert Eagle | Printstream (Battle-Scarred),2025.0,2025.0,2086.3,-12.4,567
900600,USP-S | Printstream (Battle-Scarred),2015.0,2392.23,2086.3,-12.83,951
871063,Glock-18 | Gamma Doppler (Minimal Wear),3621.275,3839.69,3755.34,-12.97,28
927386,P250 | Apep's Curse (Battle-Scarred),3011.76,3450.32,3133.49,-13.26,32
835912,StatTrak™ Glock-18 | Neo-Noir (Battle-Scarred),2167.935,3517.22,2256.97,-13.31,35
835463,Getaway Sally | The Professionals,2842.465,3302.02,2961.2,-13.37,21
33937,AK-47 | Neon Revolution (Minimal Wear),1823.51,3300.0,1908.49,-13.77,30
900494,USP-S | Printstream (Field-Tested),2594.3925,3662.82,2717.44,-13.84,168
781671,Desert Eagle | Printstream (Minimal Wear),3784.408182,4094.88,3963.97,-13.84,34
763311,AK-47 | Asiimov (Minimal Wear),3375.76,6205.11,3539.98,-13.94,82
35237,M4A1-S | Mecha Industries (Battle-Scarred),1571.185455,1623.48,1648.85,-14.0,245
33923,AK-47 | Jaguar (Well-Worn),2379.19,2842.0,2501.14,-14.15,56
34125,AWP | Redline (Field-Tested),2489.85,3650.0,2617.97,-14.17,46
871619,MAC-10 | Propaganda (Battle-Scarred),1760.309655,1889.99,1854.79,-14.35,31
35161,M4A1-S | Atomic Alloy (Field-Tested),2500.0,2954.47,2638.16,-14.48,61
763505,StatTrak™ AK-47 | Asiimov (Battle-Scarred),3664.54,4324.77,3873.65,-14.62,26
894346,Sticker | Imperial Esports (Holo) | Antwerp 2022,1781.268,2237.42,1884.4,-14.69,25
45577,★ Driver Gloves | Racing Green (Well-Worn),3574.515,4030.39,3782.26,-14.71,79
779233,M4A1-S | Player Two (Minimal Wear),3364.581429,3733.32,3560.17,-14.71,44
835789,Glock-18 | Franklin (Field-Tested),2803.0,3146.9,2967.66,-14.76,44
42162,USP-S | Caiman (Field-Tested),2831.314,3431.42,3031.87,-15.72,72
835382,Sir Bloody Loudmouth Darryl | The Professionals,2300.0,2773.79,2463.18,-15.73,29
33956,AK-47 | Red Laminate (Field-Tested),2983.62,5394.3,3199.44,-15.84,25
33970,AK-47 | The Empress (Field-Tested),2139.91,2532.86,2294.93,-15.85,84
774957,M4A1-S | Moss Quartz (Field-Tested),1666.841667,1980.2,1789.91,-15.96,59
763250,AK-47 | Asiimov (Field-Tested),1853.37,4666.32,1992.08,-16.03,225
871408,Galil AR | Amber Fade (Factory New),1662.809091,1758.61,1788.56,-16.1,29
773698,AWP | Wildfire (Field-Tested),3532.79,4450.0,3802.45,-16.15,36
779198,M4A1-S | Player Two (Field-Tested),1511.275,1703.22,1627.04,-16.17,181
763400,AWP | Neo-Noir (Minimal Wear),1850.0,2000.18,1991.95,-16.18,136
39557,StatTrak™ SSG 08 | Dragonfire (Field-Tested),2611.9,5500.0,2845.44,-17.16,33
33972,AK-47 | The Empress (Well-Worn),1701.94,1977.24,1855.86,-17.24,170
781598,Desert Eagle | Printstream (Field-Tested),2445.0,4590.0,2718.92,-18.84,256
835635,USP-S | Monster Mashup (Minimal Wear),1757.43,2227.24,1978.62,-19.84,24
775807,SG 553 | Colony IV (Factory New),2695.465714,3684.29,3068.88,-20.73,28
42207,USP-S | Overgrowth (Field-Tested),1623.07,7477.23,1850.75,-20.85,40
900631,USP-S | Printstream (Well-Worn),2200.0,2728.88,2530.48,-21.54,53
871226,USP-S | Whiteout (Field-Tested),1625.84,2469.37,2072.84,-29.21,23
835348,Number K | The Professionals,1756.82,3500.0,2617.84,-39.43,47
35879,Operation Bravo Case,2975.635,3672.35,,,109
763404,AWP | Neo-Noir (Well-Worn),1600.0,4165.13,,,70
763243,AWP | Neo-Noir (Factory New),2313.21,4339.14,,,65
33860,AK-47 | Aquamarine Revenge (Field-Tested),2215.589375,2174.94,,,45
871315,Vypa Sista of the Revolution | Guerrilla Warfare,1696.72,1780.46,,,41
35350,M4A4 | Zirka (Minimal Wear),1866.567778,2229.09,,,22
